category,product_name,podio,reviews_rating_number,reviews_amount,_source,_data_coleta,old_price,new_price,ranking_number
" Arte, Papelaria e Armarinho",Agenda Diária Executiva De Couro Diario Anual Planner 344 Pg,1º MAIS VENDIDO,4.8,551,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,43.39,4.25,1
 Alimentos e Bebidas,Azeite De Oliva Extra Virgem Terras De Camões Vidro 500ml,1º MAIS VENDIDO,4.8,11268,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,52.51,36.75,1
" Arte, Papelaria e Armarinho",Conjunto De Canetas Marcador Permanente Ponta Dupla 60 Cores Touch,2º MAIS VENDIDO,4.8,1263,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,74.95,7.35,2
" Arte, Papelaria e Armarinho",Fita Dupla Face Fixa Forte 3m 24mm X 2m 1810,3º MAIS VENDIDO,4.7,5605,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,36.67,29.9,3
" Arte, Papelaria e Armarinho",Lápis De Cor Faber-castell Supersoft 24 Cores,4º MAIS VENDIDO,4.9,3703,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,48.66,4.77,4
 Agro,Lavadora De Alta Pressão Kärcher Compacta 1500psi 1400w Cor Amarelo 110v,1º MAIS VENDIDO,4.7,13349,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,445.88,359.1,1
 Alimentos e Bebidas,Vinho Tinto Chileno Concha Y Toro Reservado Cabernet Sauvignon 750ml,2º MAIS VENDIDO,4.8,13677,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,39.85,21.86,2
 Alimentos e Bebidas,Óleo De Soja Liza Garrafa 900ml Tipo 1,3º MAIS VENDIDO,4.8,1442,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,9.26,7.87,3
" Arte, Papelaria e Armarinho",Papel A4 Sulfite Premium 75g 500 Folhas Report. Cor Branco - Kit 01 Resma,5º MAIS VENDIDO,4.8,7145,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,10.8,1.06,5
" Arte, Papelaria e Armarinho",Canetinhas Coloridas Escolar Ponta Dupla Estojo Com 80 Cores,6º MAIS VENDIDO,4.8,2185,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,116.37,11.0,6
" Arte, Papelaria e Armarinho",Papel Sulfite Report Premium A4 Branco 500 Folhas Kit Com 10 Resmas,7º MAIS VENDIDO,4.9,273,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,254.84,24.0,7
 Agro,Furadeira Parafusadeira Sem Fio De 10mm Philco Ppf12m 12v + Acessório 110v/220v,2º MAIS VENDIDO,4.8,2465,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,248.63,189.43,2
 Agro,Parafusadeira E Furadeira A Bateria Wap Bpf 12k3 12v Com Maleta Bivolt,3º MAIS VENDIDO,4.7,60041,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,240.78,187.3,3
 Agro,Lavadora De Alta Pressão 1300 Libras Lav 1300 Vonder 127v,4º MAIS VENDIDO,4.7,6134,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,399.99,311.12,4
 Alimentos e Bebidas,Café Torrado E Moído Tradicional Caixa 500g Melitta,4º MAIS VENDIDO,4.9,1402,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,31.6,27.39,4
 Alimentos e Bebidas,Pacote Cerveja Pilsen Sleek 12 Latas 350ml Heineken,5º MAIS VENDIDO,4.8,5410,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,69.48,61.57,5
" Arte, Papelaria e Armarinho",Caneta Bic Azul Esferográfica Cristal 50 Unidades 1.0 Mm Cx Cor Do Exterior Transparente,8º MAIS VENDIDO,4.9,670,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,34.51,3.38,8
" Arte, Papelaria e Armarinho",Kit Miçangas Infantil 3500 Pçs Para Montar Pulseiras Bolinhas Maleta 19x13 Cm 1 Relógio Digitalcorrosa Anita Bijuterias,9º MAIS VENDIDO,4.8,3237,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,74.9,52.25,9
 Agro,Inseticida Líquido Contra Formigas Mosquitos Baratas K-othrine Sc 25 Bayer 30ml,5º MAIS VENDIDO,4.6,1247,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,8.0,0.0,5
 Agro,Lavadora De Alta Pressão Wap Ousada Plus 2200 1500w De Potência 1750 Psi 127v,6º MAIS VENDIDO,4.6,20868,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,610.24,479.0,6
